Employee_ID,Name,Age,Gender,Country,City,Education,Job_Title,Department,Experience_Years,Salary_USD,Bonus_USD,Work_Hours_Per_Week,Remote_Work,Performance_Score,Joining_Year,Contract_Type
111,Employee_111,56,Male,UK,LA,PhD,Analyst,Marketing,15,37265,5357,48,No,9,2024,Contract
112,Employee_112,33,Male,USA,Karachi,Master,Developer,IT,3,52763,16599,43,Yes,4,2009,Part-Time
113,Employee_113,22,Male,Pakistan,LA,Master,Designer,Finance,20,105652,14201,46,No,4,2002,Contract
114,Employee_114,20,Male,UK,Toronto,PhD,Manager,IT,5,45733,3739,51,No,3,2022,Part-Time
115,Employee_115,24,Female,Canada,Karachi,High School,Designer,Marketing,0,142196,14231,43,No,5,2006,Part-Time
116,Employee_116,45,Female,USA,Toronto,Bachelor,Manager,Finance,3,121038,10510,46,No,3,2009,Full-Time
117,Employee_117,33,Female,USA,Delhi,Bachelor,Designer,HR,10,67420,10727,54,Yes,9,2012,Full-Time
118,Employee_118,58,Male,USA,Karachi,Bachelor,Developer,Finance,11,138777,11635,56,No,3,2003,Full-Time
119,Employee_119,46,Male,Canada,Karachi,PhD,Manager,HR,25,39247,10964,43,Yes,2,2017,Full-Time
120,Employee_120,28,Male,Canada,Toronto,Master,Manager,IT,28,53840,18261,41,No,5,2010,Contract
121,Employee_121,34,Female,India,Delhi,Bachelor,Manager,IT,4,95149,12392,45,No,6,2024,Contract
122,Employee_122,34,Male,UK,London,Master,Analyst,Marketing,22,51058,13336,30,Yes,1,2003,Full-Time
123,Employee_123,45,Female,India,LA,Bachelor,Analyst,HR,28,145229,12939,42,No,6,2023,Part-Time
124,Employee_124,32,Female,UK,Toronto,Bachelor,Designer,IT,20,64929,17676,35,Yes,3,2013,Part-Time
125,Employee_125,51,Male,Canada,Karachi,PhD,Developer,HR,15,114171,10843,46,Yes,4,2017,Part-Time
126,Employee_126,58,Male,Canada,LA,High School,Analyst,IT,12,121164,13823,41,No,6,2007,Part-Time
127,Employee_127,51,Female,India,LA,PhD,Manager,Finance,12,61362,3686,52,No,8,2009,Contract
128,Employee_128,23,Male,Pakistan,LA,Bachelor,Analyst,IT,16,116489,1233,48,No,9,2004,Part-Time
129,Employee_129,49,Female,India,London,Bachelor,Developer,Marketing,26,114664,15429,35,No,6,2022,Part-Time
130,Employee_130,56,Male,UK,NY,High School,Analyst,Finance,6,77356,19758,36,Yes,7,2006,Full-Time
131,Employee_131,42,Male,India,Toronto,Master,Manager,Marketing,7,107597,3272,30,No,5,2011,Part-Time
132,Employee_132,58,Female,USA,NY,Master,Designer,Finance,12,36041,18350,30,No,9,2024,Contract
133,Employee_133,34,Male,UK,NY,Bachelor,Manager,HR,22,108209,18273,58,No,4,2002,Part-Time
134,Employee_134,48,Female,UK,NY,Master,Developer,Marketing,26,91954,4400,34,No,6,2003,Part-Time
135,Employee_135,55,Male,Pakistan,LA,Bachelor,Designer,IT,15,91869,16371,35,No,5,2009,Contract
136,Employee_136,32,Female,Canada,Delhi,High School,Analyst,HR,29,51059,5542,45,Yes,1,2003,Full-Time
137,Employee_137,51,Female,UK,LA,High School,Analyst,IT,28,129864,4523,54,No,5,2014,Contract
138,Employee_138,26,Male,Canada,LA,Bachelor,Analyst,Finance,3,74722,19147,45,Yes,5,2009,Full-Time
139,Employee_139,41,Female,India,Karachi,High School,Designer,Finance,7,47548,4291,43,No,9,2020,Part-Time
140,Employee_140,47,Male,USA,Karachi,PhD,Manager,IT,15,45078,3488,30,No,1,2021,Full-Time
141,Employee_141,21,Male,Pakistan,NY,PhD,Designer,IT,20,35419,11892,42,No,5,2015,Full-Time
142,Employee_142,25,Male,Canada,LA,High School,Designer,HR,9,65490,2558,49,Yes,7,2014,Full-Time
143,Employee_143,47,Female,UK,NY,Bachelor,Developer,IT,24,106086,5690,39,No,6,2018,Part-Time
144,Employee_144,47,Female,Canada,Karachi,Bachelor,Designer,Marketing,11,145158,7121,53,Yes,6,2019,Full-Time
145,Employee_145,39,Male,UK,Delhi,High School,Analyst,Marketing,11,88760,19660,39,Yes,7,2018,Full-Time
146,Employee_146,49,Male,Canada,Toronto,Master,Manager,IT,25,60337,13198,38,No,6,2017,Part-Time
147,Employee_147,30,Female,UK,NY,PhD,Manager,Marketing,4,31468,5439,42,Yes,5,2011,Contract
148,Employee_148,47,Male,India,Delhi,Master,Manager,IT,15,54309,18487,32,No,5,2024,Contract
149,Employee_149,44,Male,UK,Toronto,Bachelor,Analyst,HR,0,96344,8520,56,No,9,2015,Contract
150,Employee_150,58,Female,UK,London,Bachelor,Analyst,Marketing,27,120283,6409,47,Yes,8,2000,Part-Time
151,Employee_151,52,Male,USA,NY,Master,Analyst,Marketing,8,102255,10670,49,No,4,2015,Part-Time
152,Employee_152,20,Female,UK,NY,High School,Analyst,IT,11,111899,13106,31,No,4,2001,Contract
153,Employee_153,46,Male,USA,London,Master,Analyst,Marketing,4,58718,12934,46,Yes,5,2023,Full-Time
154,Employee_154,32,Female,Pakistan,London,Master,Designer,Finance,21,124337,8869,57,Yes,3,2014,Contract
155,Employee_155,22,Male,USA,NY,PhD,Analyst,HR,19,138895,3956,48,Yes,8,2006,Part-Time
156,Employee_156,58,Male,India,London,PhD,Analyst,HR,21,67841,11766,52,Yes,7,2000,Full-Time
157,Employee_157,25,Female,USA,LA,Master,Analyst,Marketing,27,103548,11086,42,Yes,5,2004,Full-Time
158,Employee_158,27,Male,Pakistan,Toronto,Master,Analyst,Marketing,23,113565,11435,42,Yes,3,2009,Part-Time
159,Employee_159,46,Female,India,Toronto,Bachelor,Manager,Finance,2,76660,17412,30,No,5,2021,Full-Time
160,Employee_160,28,Male,Canada,Toronto,PhD,Analyst,Finance,4,136553,11255,31,Yes,3,2020,Contract
161,Employee_161,56,Female,Canada,LA,PhD,Designer,Marketing,1,80281,10638,30,Yes,5,2003,Part-Time
162,Employee_162,52,Female,USA,London,Bachelor,Designer,Marketing,13,143451,8756,53,No,1,2013,Part-Time
163,Employee_163,43,Female,USA,Delhi,High School,Designer,Finance,1,146041,12856,34,No,6,2012,Part-Time
164,Employee_164,34,Female,Pakistan,London,PhD,Developer,IT,12,30767,16764,53,Yes,4,2000,Part-Time
165,Employee_165,51,Male,Pakistan,NY,PhD,Manager,Finance,6,33895,4602,32,Yes,4,2015,Full-Time
166,Employee_166,51,Male,UK,Karachi,High School,Analyst,IT,9,88026,6062,58,No,8,2022,Part-Time
167,Employee_167,43,Female,Pakistan,Toronto,PhD,Developer,HR,12,148142,12877,57,Yes,2,2008,Part-Time
168,Employee_168,31,Female,UK,London,PhD,Analyst,HR,15,72968,8244,36,Yes,4,2021,Full-Time
169,Employee_169,58,Female,India,Delhi,High School,Developer,Finance,25,70097,7372,53,No,2,2015,Part-Time
170,Employee_170,21,Male,USA,NY,High School,Developer,IT,13,45332,8105,51,Yes,1,2018,Full-Time
171,Employee_171,22,Male,India,LA,Master,Designer,Finance,10,44621,13229,42,No,3,2014,Full-Time
172,Employee_172,56,Male,Pakistan,LA,Bachelor,Designer,Finance,9,106870,17956,58,Yes,8,2013,Part-Time
173,Employee_173,36,Male,India,Delhi,Bachelor,Developer,IT,5,48174,8705,52,No,6,2019,Contract
174,Employee_174,21,Female,India,NY,High School,Designer,Finance,3,129189,14894,59,No,7,2009,Part-Time
175,Employee_175,21,Female,India,Toronto,High School,Developer,HR,20,70502,13280,57,No,2,2020,Contract
176,Employee_176,47,Female,Pakistan,London,PhD,Manager,Marketing,0,66674,1614,47,Yes,6,2011,Full-Time
177,Employee_177,42,Male,India,NY,Master,Designer,Marketing,6,67260,5050,53,No,8,2000,Contract
178,Employee_178,56,Male,UK,LA,Master,Designer,Finance,23,72498,17709,50,Yes,8,2020,Part-Time
179,Employee_179,51,Male,Pakistan,Delhi,High School,Designer,IT,8,97609,16722,36,No,4,2016,Part-Time
180,Employee_180,52,Female,India,Delhi,PhD,Manager,IT,7,79464,16210,30,No,6,2008,Contract
181,Employee_181,20,Female,Pakistan,London,PhD,Developer,HR,4,101805,17742,34,No,5,2022,Part-Time
182,Employee_182,38,Male,Canada,Delhi,Bachelor,Analyst,IT,18,94919,4777,46,Yes,9,2018,Contract
183,Employee_183,21,Female,UK,Delhi,Bachelor,Designer,IT,9,84469,6906,57,Yes,8,2024,Full-Time
184,Employee_184,45,Male,India,NY,PhD,Developer,HR,10,47194,2721,58,No,2,2017,Contract
185,Employee_185,51,Male,Canada,Toronto,Bachelor,Manager,Finance,24,56811,18733,37,Yes,7,2006,Contract
186,Employee_186,25,Female,Canada,London,High School,Analyst,Marketing,14,102377,4896,44,Yes,7,2008,Contract
187,Employee_187,51,Male,Pakistan,NY,PhD,Designer,HR,5,73723,7941,49,Yes,1,2021,Contract
188,Employee_188,23,Female,Canada,Toronto,Bachelor,Manager,Finance,14,130336,14464,33,No,1,2020,Full-Time
189,Employee_189,30,Male,UK,NY,Master,Manager,HR,4,105235,6246,31,Yes,4,2011,Full-Time
190,Employee_190,36,Female,UK,Karachi,PhD,Analyst,Finance,28,141041,9384,34,No,5,2006,Full-Time
191,Employee_191,57,Female,USA,NY,PhD,Developer,HR,18,106298,19961,30,No,4,2013,Contract
192,Employee_192,43,Female,UK,Delhi,Master,Designer,Finance,21,89238,16369,54,No,7,2014,Full-Time
193,Employee_193,24,Male,Canada,Toronto,High School,Designer,HR,18,135433,17475,34,Yes,3,2014,Part-Time
194,Employee_194,53,Male,UK,London,Master,Developer,Finance,9,147393,14644,35,No,7,2005,Full-Time
195,Employee_195,25,Female,Pakistan,London,PhD,Developer,HR,11,137092,12108,31,Yes,8,2020,Contract
196,Employee_196,41,Female,USA,Toronto,High School,Developer,Marketing,21,32147,9128,55,Yes,6,2013,Part-Time
197,Employee_197,30,Male,Canada,Delhi,Bachelor,Analyst,Marketing,3,128919,18459,55,No,6,2001,Contract
198,Employee_198,35,Male,USA,LA,Bachelor,Analyst,IT,17,129251,19897,30,No,8,2007,Part-Time
199,Employee_199,52,Male,Canada,NY,Bachelor,Designer,Finance,15,68445,9168,33,No,8,2012,Contract
200,Employee_200,28,Female,Pakistan,Delhi,PhD,Analyst,HR,7,83803,7861,36,Yes,7,2022,Contract
201,Employee_201,25,Male,USA,Karachi,Master,Manager,Finance,3,91108,9990,51,Yes,6,2005,Part-Time
202,Employee_202,35,Male,India,Toronto,High School,Designer,Marketing,24,136170,14750,55,No,6,2004,Full-Time
203,Employee_203,48,Female,Canada,NY,Bachelor,Analyst,Finance,22,32013,17988,30,No,6,2004,Part-Time
204,Employee_204,22,Male,India,London,High School,Developer,HR,11,115617,3979,30,Yes,8,2024,Part-Time
205,Employee_205,39,Male,USA,LA,PhD,Manager,Finance,1,112410,8065,37,Yes,1,2000,Part-Time
206,Employee_206,55,Male,India,Karachi,Bachelor,Developer,HR,3,83502,5916,49,No,5,2008,Part-Time
207,Employee_207,38,Female,India,London,PhD,Designer,Marketing,4,147116,1597,45,Yes,3,2005,Part-Time
208,Employee_208,45,Female,USA,Toronto,Master,Developer,Marketing,2,67755,6622,50,Yes,8,2019,Contract
209,Employee_209,22,Female,Pakistan,NY,PhD,Analyst,Marketing,8,38733,19261,42,Yes,6,2006,Contract
210,Employee_210,38,Female,India,Toronto,PhD,Analyst,IT,28,39479,13164,52,Yes,2,2008,Full-Time
211,Employee_211,39,Female,India,NY,Master,Designer,Marketing,20,105361,2699,53,Yes,7,2004,Full-Time
212,Employee_212,51,Female,Pakistan,Delhi,High School,Developer,Finance,17,51304,18100,55,Yes,7,2013,Part-Time
213,Employee_213,26,Female,India,LA,Master,Designer,IT,10,65694,14429,52,No,5,2004,Full-Time
214,Employee_214,52,Male,India,Delhi,Master,Developer,Marketing,2,135586,14796,47,Yes,8,2007,Full-Time
215,Employee_215,59,Male,India,Delhi,PhD,Manager,Finance,29,111171,5086,59,No,5,2006,Part-Time
216,Employee_216,58,Female,UK,Toronto,High School,Analyst,Finance,24,144151,1665,49,No,1,2012,Contract
217,Employee_217,37,Male,Pakistan,LA,Bachelor,Designer,Finance,22,116296,15605,39,Yes,9,2012,Contract
218,Employee_218,59,Male,India,NY,Master,Manager,HR,1,39490,18463,41,No,4,2007,Full-Time
219,Employee_219,20,Female,Pakistan,NY,High School,Manager,IT,8,51252,9419,30,No,2,2010,Contract
220,Employee_220,30,Male,Canada,Karachi,Master,Designer,Finance,13,135290,16184,39,No,4,2017,Contract
221,Employee_221,47,Male,Canada,London,Master,Designer,HR,3,36862,2069,38,Yes,9,2024,Full-Time
222,Employee_222,44,Male,India,Karachi,Master,Manager,Marketing,28,140463,6263,32,No,2,2018,Part-Time
223,Employee_223,42,Male,Pakistan,Karachi,Master,Developer,Finance,8,99959,17109,57,Yes,4,2005,Full-Time
224,Employee_224,50,Male,Pakistan,NY,PhD,Manager,HR,12,40450,8951,48,No,2,2021,Full-Time
225,Employee_225,49,Female,Pakistan,Toronto,High School,Designer,Finance,17,86022,13919,55,No,5,2001,Full-Time
226,Employee_226,54,Female,UK,Delhi,High School,Manager,IT,14,91991,2363,38,No,3,2012,Part-Time
227,Employee_227,26,Female,Canada,Delhi,High School,Developer,IT,27,70927,5508,39,No,2,2022,Part-Time
228,Employee_228,35,Male,Pakistan,Delhi,Master,Analyst,Marketing,9,130377,2755,48,Yes,9,2024,Part-Time
229,Employee_229,45,Female,Pakistan,LA,PhD,Analyst,Finance,15,118090,1519,45,No,5,2010,Part-Time
230,Employee_230,21,Male,UK,NY,Master,Manager,HR,11,79853,12736,53,No,5,2000,Full-Time
231,Employee_231,20,Male,UK,Toronto,Master,Developer,Marketing,19,61826,11514,47,Yes,1,2023,Contract
232,Employee_232,31,Male,Pakistan,LA,High School,Analyst,Finance,4,72879,15688,43,Yes,6,2001,Full-Time
233,Employee_233,24,Male,USA,London,Master,Manager,Marketing,1,87265,8233,58,Yes,7,2016,Part-Time
234,Employee_234,56,Female,Pakistan,Toronto,Bachelor,Manager,HR,9,102361,2102,32,No,1,2007,Contract
235,Employee_235,51,Female,Pakistan,Karachi,Master,Developer,Marketing,0,138956,1597,31,Yes,9,2001,Full-Time
236,Employee_236,28,Male,UK,Toronto,Bachelor,Designer,Marketing,6,107990,14947,30,Yes,8,2005,Contract
237,Employee_237,54,Female,UK,Toronto,Master,Manager,Marketing,25,119787,13241,47,Yes,8,2021,Part-Time
238,Employee_238,38,Male,Pakistan,Delhi,PhD,Designer,Finance,16,116184,6781,53,Yes,7,2004,Contract
239,Employee_239,35,Female,Pakistan,Toronto,PhD,Designer,HR,15,70736,11797,38,Yes,5,2015,Contract
240,Employee_240,22,Female,Pakistan,Karachi,High School,Analyst,IT,26,54530,7256,42,Yes,3,2007,Part-Time
241,Employee_241,39,Male,UK,Karachi,Master,Designer,Finance,26,108052,11380,31,No,9,2018,Contract
242,Employee_242,43,Female,Pakistan,NY,Bachelor,Developer,IT,23,77058,9780,36,Yes,7,2015,Full-Time
243,Employee_243,52,Male,Pakistan,Toronto,Bachelor,Analyst,IT,2,136080,7554,45,No,8,2012,Contract
244,Employee_244,43,Female,India,Delhi,Master,Analyst,Finance,13,104094,13664,50,Yes,6,2019,Full-Time
245,Employee_245,30,Male,USA,Toronto,Bachelor,Analyst,Finance,9,104255,10599,48,Yes,5,2006,Contract
246,Employee_246,27,Male,Canada,London,PhD,Manager,HR,21,34886,16511,54,Yes,8,2015,Contract
247,Employee_247,55,Female,USA,London,Bachelor,Manager,HR,6,123721,5846,44,No,3,2022,Part-Time
